Airport;Code;Location
Hartsfield-Jackson Atlanta International Airport;ATL/KATL;Atlanta, Georgia, United States
O'Hare International Airport;ORD/KORD;Chicago, Illinois, United States
Dallas/Fort Worth International Airport;DFW/KDFW;Coppell, Euless, Grapevine, and Irving, Texas, United States
Denver International Airport;DEN/KDEN;Denver, Colorado, United States
Charlotte Douglas International Airport;CLT/KCLT;Charlotte, North Carolina, United States
Los Angeles International Airport;LAX/KLAX;Los Angeles, California, United States
Harry Reid International Airport;LAS/KLAS;Paradise, Nevada, United States
Phoenix International Airport;PHX/KPHX;Phoenix, Arizona, United States
Miami International Airport;MIA/KMIA;Miami-Dade County, Florida, United States
George Bush Intercontinental Airport;IAH/KIAH;Houston, Texas, United States
